,popularity
averageCodingDeliverablesHoursTotalByWeek,1
averageInPersonMeetingHoursTotalByWeek,1
averageHelpHoursTotalByWeek,1
averageResponsesByWeek,1
inPersonMeetingHoursStandardDeviation,1
averageMeetingHoursTotalByWeek,0.95
meetingHoursStandardDeviation,0.95
helpHoursStandardDeviation,0.95
codingDeliverablesHoursStandardDeviation,0.95
averageCodingDeliverablesHoursAverageByStudent,0.9
averageMeetingHoursTotalByStudent,0.9
standardDeviationInPersonMeetingHoursAverageByStudent,0.9
averageInPersonMeetingHoursAverageByWeek,0.9
inPersonMeetingHoursAverage,0.9
averageHelpHoursAverageByStudent,0.9
averageHelpHoursAverageByWeek,0.9
nonCodingDeliverablesHoursAverage,0.85
nonCodingDeliverablesHoursTotal,0.85
standardDeviationHelpHoursTotalByStudent,0.85
helpHoursAverage,0.85
averageInPersonMeetingHoursTotalByStudent,0.85
averageCodingDeliverablesHoursAverageByWeek,0.85
lateIssueCount,0.85
averageNonCodingDeliverablesHoursTotalByWeek,0.8
averageMeetingHoursAverageByStudent,0.8
averageNonCodingDeliverablesHoursTotalByStudent,0.8
standardDeviationCodingDeliverablesHoursAverageByStudent,0.8
averageMeetingHoursAverageByWeek,0.8
nonCodingDeliverablesHoursStandardDeviation,0.8
meetingHoursAverage,0.8
meetingHoursTotal,0.8
standardDeviationHelpHoursAverageByStudent,0.8
standardDeviationMeetingHoursTotalByStudent,0.8
standardDeviationNonCodingDeliverablesHoursTotalByStudent,0.75
standardDeviationCodingDeliverablesHoursTotalByStudent,0.75
averageHelpHoursTotalByStudent,0.75
codingDeliverablesHoursTotal,0.75
averageInPersonMeetingHoursAverageByStudent,0.75
standardDeviationMeetingHoursAverageByStudent,0.75
averageUniqueCommitMessagePercentByWeek,0.75
standardDeviationInPersonMeetingHoursTotalByStudent,0.7
uniqueCommitMessagePercent,0.7
teamMemberCount,0.7
teamMemberResponseCount,0.7
standardDeviationCodingDeliverablesHoursTotalByWeek,0.7
averageNonCodingDeliverablesHoursAverageByWeek,0.7
inPersonMeetingHoursTotal,0.7
codingDeliverablesHoursAverage,0.7
helpHoursTotal,0.7
standardDeviationMeetingHoursAverageByWeek,0.65
issueCount,0.65
averageNonCodingDeliverablesHoursAverageByStudent,0.65
standardDeviationNonCodingDeliverablesHoursAverageByStudent,0.65
standardDeviationMeetingHoursTotalByWeek,0.65
averageCommitMessageLengthTotalByWeek,0.6
averageCommitCountByStudent,0.6
femaleTeamMembersPercent,0.6
averageCodingDeliverablesHoursTotalByStudent,0.6
standardDeviationCodingDeliverablesHoursAverageByWeek,0.6
commitMessageLengthStandardDeviation,0.55
standardDeviationCommitCountByStudent,0.55
standardDeviationInPersonMeetingHoursAverageByWeek,0.55
standardDeviationNonCodingDeliverablesHoursTotalByWeek,0.55
averageCommitCountByWeek,0.55
commitMessageLengthTotal,0.55
commitMessageLengthAverage,0.55
standardDeviationInPersonMeetingHoursTotalByWeek,0.5
standardDeviationNonCodingDeliverablesHoursAverageByWeek,0.5
averageUniqueCommitMessageCountByStudent,0.45
standardDeviationResponsesByStudent,0.45
commitCount,0.45
standardDeviationResponsesByWeek,0.45
standardDeviationHelpHoursTotalByWeek,0.45
standardDeviationHelpHoursAverageByWeek,0.45
averageUniqueCommitMessageCountByWeek,0.4
standardDeviationUniqueCommitMessagePercentByWeek,0.4
uniqueCommitMessageCount,0.35
standardDeviationCommitMessageLengthTotalByWeek,0.35
averageResponsesByStudent,0.35
standardDeviationCommitCountByWeek,0.3
teamDistribution,0.2
standardDeviationUniqueCommitMessageCountByWeek,0.2
onTimeIssueCount,0.15
teamLeadGender,0.05
