,popularity
teamMemberCount,0.85
helpHoursAverage,0.75
averageMeetingHoursAverageByStudent,0.7
femaleTeamMembersPercent,0.7
averageCodingDeliverablesHoursTotalByStudent,0.7
averageHelpHoursTotalByWeek,0.7
commitCount,0.7
averageInPersonMeetingHoursAverageByStudent,0.7
averageUniqueCommitMessagePercentByWeek,0.7
standardDeviationNonCodingDeliverablesHoursTotalByStudent,0.65
inPersonMeetingHoursStandardDeviation,0.65
averageCommitCountByStudent,0.65
helpHoursTotal,0.6
standardDeviationHelpHoursTotalByWeek,0.6
averageInPersonMeetingHoursAverageByWeek,0.6
standardDeviationUniqueCommitMessageCountByWeek,0.6
standardDeviationInPersonMeetingHoursAverageByStudent,0.6
teamDistribution,0.6
onTimeIssueCount,0.6
issueCount,0.6
inPersonMeetingHoursTotal,0.6
nonCodingDeliverablesHoursAverage,0.55
standardDeviationMeetingHoursAverageByStudent,0.55
standardDeviationCommitCountByWeek,0.55
averageCodingDeliverablesHoursTotalByWeek,0.55
commitMessageLengthStandardDeviation,0.55
standardDeviationCommitMessageLengthTotalByWeek,0.55
uniqueCommitMessageCount,0.55
teamLeadGender,0.5
standardDeviationResponsesByStudent,0.5
teamMemberResponseCount,0.5
averageNonCodingDeliverablesHoursTotalByStudent,0.5
standardDeviationCodingDeliverablesHoursTotalByStudent,0.5
averageUniqueCommitMessageCountByStudent,0.5
codingDeliverablesHoursStandardDeviation,0.5
averageNonCodingDeliverablesHoursAverageByWeek,0.5
standardDeviationNonCodingDeliverablesHoursTotalByWeek,0.5
uniqueCommitMessagePercent,0.5
inPersonMeetingHoursAverage,0.5
commitMessageLengthAverage,0.5
nonCodingDeliverablesHoursTotal,0.5
standardDeviationMeetingHoursTotalByWeek,0.5
nonCodingDeliverablesHoursStandardDeviation,0.5
averageCommitCountByWeek,0.5
standardDeviationCommitCountByStudent,0.45
averageHelpHoursAverageByStudent,0.45
standardDeviationHelpHoursTotalByStudent,0.45
commitMessageLengthTotal,0.45
standardDeviationNonCodingDeliverablesHoursAverageByStudent,0.45
averageUniqueCommitMessageCountByWeek,0.45
averageResponsesByStudent,0.45
lateIssueCount,0.45
standardDeviationInPersonMeetingHoursTotalByWeek,0.45
meetingHoursTotal,0.45
meetingHoursAverage,0.45
averageMeetingHoursTotalByStudent,0.45
standardDeviationHelpHoursAverageByWeek,0.45
codingDeliverablesHoursTotal,0.45
helpHoursStandardDeviation,0.45
averageCodingDeliverablesHoursAverageByWeek,0.45
standardDeviationNonCodingDeliverablesHoursAverageByWeek,0.45
averageNonCodingDeliverablesHoursTotalByWeek,0.45
codingDeliverablesHoursAverage,0.4
averageCommitMessageLengthTotalByWeek,0.4
averageResponsesByWeek,0.4
standardDeviationResponsesByWeek,0.4
standardDeviationMeetingHoursAverageByWeek,0.4
standardDeviationInPersonMeetingHoursTotalByStudent,0.4
standardDeviationCodingDeliverablesHoursAverageByWeek,0.4
averageCodingDeliverablesHoursAverageByStudent,0.4
averageHelpHoursAverageByWeek,0.4
standardDeviationInPersonMeetingHoursAverageByWeek,0.4
averageInPersonMeetingHoursTotalByStudent,0.35
averageInPersonMeetingHoursTotalByWeek,0.35
standardDeviationCodingDeliverablesHoursTotalByWeek,0.35
averageMeetingHoursAverageByWeek,0.35
standardDeviationMeetingHoursTotalByStudent,0.35
averageMeetingHoursTotalByWeek,0.3
standardDeviationUniqueCommitMessagePercentByWeek,0.3
standardDeviationCodingDeliverablesHoursAverageByStudent,0.3
standardDeviationHelpHoursAverageByStudent,0.25
averageHelpHoursTotalByStudent,0.25
averageNonCodingDeliverablesHoursAverageByStudent,0.25
meetingHoursStandardDeviation,0.15
